Population,Sample,Coverage,Batch,SynDerivedAlleles,Island,Total_LOF,Homozygotes_LOF,Heterozygotes_LOF,Total_LOF_Standardized,Homozygotes_LOF_Standardized,Heterozygotes_LOF_Standardized
ARI,Sample01,13,New,1678,Trinidad,6,0,6,0.00357568533969011,0,0.00357568533969011
ARI,Sample02,14,New,1869,Trinidad,11,4,7,0.00588550026752274,0.00214018191546281,0.00374531835205992
ARI,Sample03,14,New,1818,Trinidad,11,2,9,0.00605060506050605,0.0011001100110011,0.00495049504950495
ARI,Sample04,15,New,1865,Trinidad,13,4,9,0.00697050938337802,0.00214477211796247,0.00482573726541555
ARI,Sample05,15,New,1816,Trinidad,12,4,8,0.0066079295154185,0.00220264317180617,0.00440528634361234
ARI,Sample06,15,New,1611,Trinidad,9,2,7,0.00558659217877095,0.00124146492861577,0.00434512725015518
ARI,Sample07,15,New,1775,Trinidad,15,10,5,0.00845070422535211,0.00563380281690141,0.0028169014084507
ARI,Sample08,16,New,1798,Trinidad,9,2,7,0.0050055617352614,0.00111234705228031,0.00389321468298109
ARI,Sample09,16,New,1779,Trinidad,14,10,4,0.00786958965711074,0.00562113546936481,0.00224845418774592
ARI,Sample10,16,New,1697,Trinidad,10,0,10,0.00589275191514437,0,0.00589275191514437
ARI,Sample11,16,New,1873,Trinidad,12,2,10,0.00640683395621997,0.00106780565936999,0.00533902829684997
ARI,Sample12,17,New,1793,Trinidad,13,6,7,0.00725041829336308,0.00334634690462911,0.00390407138873397
ARI,Sample13,18,New,1918,Trinidad,10,4,6,0.00521376433785193,0.00208550573514077,0.00312825860271116
ARI,Sample14,23,New,1728,Trinidad,9,4,5,0.00520833333333333,0.00231481481481481,0.00289351851851852
CAU,Sample01,10,Old,7425,Trinidad,17,10,7,0.00228956228956229,0.00134680134680135,0.000942760942760943
CAU,Sample02,12,Old,6730,Trinidad,16,8,8,0.00237741456166419,0.00118870728083209,0.00118870728083209
CAU,Sample03,13,Old,7115,Trinidad,18,12,6,0.00252986647926915,0.0016865776528461,0.00084328882642305
CAU,Sample04,17,Old,7487,Trinidad,16,12,4,0.00213703753172165,0.00160277814879124,0.000534259382930413
CAU,Sample05,20,Old,5647,Trinidad,10,8,2,0.00177085177970604,0.00141668142376483,0.000354170355941208
DR,Sample01,10,Old,10502,Tobago,30,26,4,0.00285659874309655,0.00247571891068368,0.000380879832412874
DR,Sample02,12,Old,9697,Tobago,24,20,4,0.00247499226564917,0.00206249355470764,0.000412498710941528
DR,Sample03,15,Old,10622,Tobago,24,20,4,0.00225946149501036,0.0018828845791753,0.000376576915835059
DR,Sample04,15,Old,10567,Tobago,28,24,4,0.0026497586826914,0.0022712217280212,0.0003785369546702
DR,Sample05,15,Old,7969,Tobago,17,12,5,0.0021332664073284,0.00150583511105534,0.000627431296273058
GUA,Sample01,9,Guanapo,792,Trinidad,0,0,0,0,0,0
GUA,Sample02,7,Guanapo,938,Trinidad,6,2,4,0.00639658848614072,0.00213219616204691,0.00426439232409382
GUA,Sample03,10,Guanapo,546,Trinidad,3,0,3,0.00549450549450549,0,0.00549450549450549
GUA,Sample04,9,Guanapo,851,Trinidad,7,4,3,0.0082256169212691,0.00470035252643948,0.00352526439482961
GUA,Sample05,13,Guanapo,781,Trinidad,7,4,3,0.0089628681177977,0.00512163892445583,0.00384122919334187
GUA,Sample06,12,Guanapo,924,Trinidad,6,2,4,0.00649350649350649,0.00216450216450216,0.00432900432900433
GUA,Sample07,10,Guanapo,923,Trinidad,4,0,4,0.00433369447453955,0,0.00433369447453955
GUA,Sample08,8,Guanapo,827,Trinidad,2,0,2,0.00241837968561064,0,0.00241837968561064
GUA,Sample09,10,Guanapo,597,Trinidad,4,2,2,0.00670016750418761,0.0033500837520938,0.0033500837520938
GUA,Sample10,13,Guanapo,776,Trinidad,5,2,3,0.00644329896907216,0.00257731958762887,0.0038659793814433
LOP,Sample01,9,New,3021,Trinidad,12,6,6,0.00397219463753724,0.00198609731876862,0.00198609731876862
LOP,Sample02,11,New,2167,Trinidad,7,2,5,0.00323027226580526,0.000922934933087217,0.00230733733271804
LOP,Sample03,11,New,2664,Trinidad,8,4,4,0.003003003003003,0.0015015015015015,0.0015015015015015
LOP,Sample04,12,New,2848,Trinidad,14,4,10,0.00491573033707865,0.00140449438202247,0.00351123595505618
LOP,Sample05,13,New,2620,Trinidad,13,6,7,0.0049618320610687,0.00229007633587786,0.00267175572519084
