Population,Sample,Coverage,Batch,SynDerivedAlleles,Total_MISS,Homozygotes_MISS,Heterozygotes_MISS,Total_MISS_Standardized,Homozygotes_MISS_Standardized,Heterozygotes_MISS_Standardized
TUR lower,Sample01,11,New,2023,360,164,196,0.177953534354918,0.0810677212061295,0.0968858131487889
TUR lower,Sample02,13,New,1972,389,190,199,0.197261663286004,0.0963488843813387,0.100912778904665
TUR lower,Sample03,14,New,2030,346,144,202,0.170443349753695,0.070935960591133,0.0995073891625616
TUR lower,Sample04,14,New,2072,388,186,202,0.187258687258687,0.0897683397683398,0.0974903474903475
TUR lower,Sample05,14,New,1974,353,152,201,0.178824721377913,0.0770010131712259,0.101823708206687
TUR lower,Sample06,15,New,1796,312,134,178,0.173719376391982,0.0746102449888642,0.099109131403118
TUR lower,Sample07,15,New,2006,354,170,184,0.176470588235294,0.0847457627118644,0.0917248255234297
TUR lower,Sample08,15,New,1898,389,200,189,0.20495258166491,0.105374077976818,0.0995785036880927
TUR lower,Sample09,15,New,2157,417,224,193,0.193324061196106,0.103847936949467,0.0894761242466389
TUR lower,Sample10,16,New,1969,371,168,203,0.188420518029457,0.08532249873032,0.103098019299137
TUR lower,Sample11,16,New,2037,345,152,193,0.169366715758468,0.0746195385370643,0.094747177221404
TUR lower,Sample12,16,New,1990,347,162,185,0.174371859296482,0.0814070351758794,0.092964824120603
TUR lower,Sample13,18,New,1963,367,174,193,0.186958736627611,0.0886398369842078,0.098318899643403
TUR lower,Sample14,18,New,2087,387,190,197,0.185433636799233,0.0910397700047916,0.0943938667944418
TUR middle,Sample01,13,Old,1200,161,68,93,0.134166666666667,0.0566666666666667,0.0775
TUR middle,Sample03,13,Old,1186,182,102,80,0.153456998313659,0.0860033726812816,0.0674536256323777
TUR middle,Sample04,13,Old,1164,173,82,91,0.148625429553265,0.070446735395189,0.0781786941580756
TUR middle,Sample05,14,Old,1263,183,90,93,0.144893111638955,0.0712589073634204,0.0736342042755344
TUR middle,Sample06,14,New,1205,170,74,96,0.141078838174274,0.0614107883817427,0.0796680497925311
TUR middle,Sample07,15,New,1208,171,80,91,0.141556291390728,0.0662251655629139,0.0753311258278146
TUR middle,Sample08,15,New,1202,176,84,92,0.146422628951747,0.0698835274542429,0.0765391014975042
TUR middle,Sample09,15,New,1277,186,92,94,0.145653876272514,0.072043852779953,0.0736100234925607
TUR middle,Sample10,15,New,1262,177,86,91,0.140253565768621,0.0681458003169572,0.072107765451664
TUR middle,Sample11,15,New,1178,182,98,84,0.154499151103565,0.0831918505942275,0.0713073005093379
TUR middle,Sample16,12,New,1146,164,70,94,0.143106457242583,0.0610820244328098,0.0820244328097731
TUR middle,Sample17,15,New,1081,152,56,96,0.140610545790934,0.0518038852913969,0.0888066604995375
TUR middle,Sample18,16,New,1206,175,80,95,0.145107794361526,0.066334991708126,0.0787728026533997
TUR upper,Sample01,16,Old,2251,541,348,193,0.240337627721013,0.154597956463794,0.085739671257219
TUR upper,Sample02,11,Old,1966,424,224,200,0.215666327568667,0.113936927772126,0.101729399796541
TUR upper,Sample03,14,Old,2170,488,292,196,0.224884792626728,0.134562211981567,0.0903225806451613
TUR upper,Sample04,14,Old,2223,486,282,204,0.218623481781376,0.126855600539811,0.0917678812415655
TUR upper,Sample05,16,Old,2286,528,334,194,0.230971128608924,0.146106736657918,0.0848643919510061
TUR upper,Sample06,14,New,1975,406,202,204,0.205569620253165,0.102278481012658,0.103291139240506
TUR upper,Sample07,13,New,1992,442,230,212,0.221887550200803,0.115461847389558,0.106425702811245
TUR upper,Sample08,15,New,2091,473,258,215,0.226207556193209,0.12338593974175,0.102821616451459
TUR upper,Sample09,15,New,2126,497,282,215,0.233772342427093,0.132643461900282,0.101128880526811
TUR upper,Sample10,11,New,1821,373,168,205,0.204832509610104,0.0922570016474465,0.112575507962658
TUR upper,Sample11,15,New,2055,441,244,197,0.214598540145985,0.118734793187348,0.0958637469586375
TUR upper,Sample12,14,New,1972,422,214,208,0.213995943204868,0.108519269776876,0.105476673427992
TUR upper,Sample13,15,New,2116,470,256,214,0.222117202268431,0.120982986767486,0.101134215500945
TUR upper,Sample14,18,New,2322,511,302,209,0.220068906115418,0.130060292850991,0.0900086132644272
TUR upper,Sample15,15,New,2110,480,272,208,0.227488151658768,0.128909952606635,0.0985781990521327
TUR upper,Sample16,16,New,2225,511,298,213,0.229662921348315,0.133932584269663,0.0957303370786517
TUR upper,Sample17,20,New,2340,563,344,219,0.240598290598291,0.147008547008547,0.0935897435897436
TUR upper,Sample18,17,New,2253,521,302,219,0.231247225920994,0.13404349755881,0.0972037283621838
TUR upper,Sample19,16,New,2216,484,270,214,0.21841155234657,0.121841155234657,0.0965703971119134
