Population,Sample,Coverage,Batch,SynDerivedAlleles,Bottleneck,Total_MISS,Homozygotes_MISS,Heterozygotes_MISS,Total_MISS_Standardized,Homozygotes_MISS_Standardized,Heterozygotes_MISS_Standardized
GUA,Sample01,9,Guanapo,792,pre,200,52,148,0.252525252525252,0.0656565656565657,0.186868686868687
GUA,Sample02,7,Guanapo,938,pre,199,82,117,0.212153518123667,0.0874200426439232,0.124733475479744
GUA,Sample03,10,Guanapo,546,pre,153,26,127,0.28021978021978,0.0476190476190476,0.232600732600733
GUA,Sample04,9,Guanapo,851,pre,198,46,152,0.232667450058754,0.0540540540540541,0.1786133960047
GUA,Sample05,13,Guanapo,781,pre,184,52,132,0.235595390524968,0.0665813060179257,0.169014084507042
GUA,Sample06,12,Guanapo,924,pre,215,78,137,0.232683982683983,0.0844155844155844,0.148268398268398
GUA,Sample07,10,Guanapo,923,pre,208,78,130,0.225352112676056,0.0845070422535211,0.140845070422535
GUA,Sample08,8,Guanapo,827,pre,193,52,141,0.233373639661427,0.0628778718258767,0.17049576783555
GUA,Sample09,10,Guanapo,597,pre,175,24,151,0.293132328308208,0.0402010050251256,0.252931323283082
GUA,Sample10,13,Guanapo,776,pre,196,60,136,0.252577319587629,0.077319587628866,0.175257731958763
TUR,Sample01,16,Old,2251,post,541,348,193,0.240337627721013,0.154597956463794,0.085739671257219
TUR,Sample02,11,Old,1966,post,424,224,200,0.215666327568667,0.113936927772126,0.101729399796541
TUR,Sample03,14,Old,2170,post,488,292,196,0.224884792626728,0.134562211981567,0.0903225806451613
TUR,Sample04,14,Old,2223,post,486,282,204,0.218623481781376,0.126855600539811,0.0917678812415655
TUR,Sample05,16,Old,2286,post,528,334,194,0.230971128608924,0.146106736657918,0.0848643919510061
TUR,Sample06,14,New,1975,post,406,202,204,0.205569620253165,0.102278481012658,0.103291139240506
TUR,Sample07,13,New,1992,post,442,230,212,0.221887550200803,0.115461847389558,0.106425702811245
TUR,Sample08,15,New,2091,post,473,258,215,0.226207556193209,0.12338593974175,0.102821616451459
TUR,Sample09,15,New,2126,post,497,282,215,0.233772342427093,0.132643461900282,0.101128880526811
TUR,Sample10,11,New,1821,post,373,168,205,0.204832509610104,0.0922570016474465,0.112575507962658
TUR,Sample11,15,New,2055,post,441,244,197,0.214598540145985,0.118734793187348,0.0958637469586375
TUR,Sample12,14,New,1972,post,422,214,208,0.213995943204868,0.108519269776876,0.105476673427992
TUR,Sample13,15,New,2116,post,470,256,214,0.222117202268431,0.120982986767486,0.101134215500945
TUR,Sample14,18,New,2322,post,511,302,209,0.220068906115418,0.130060292850991,0.0900086132644272
TUR,Sample15,15,New,2110,post,480,272,208,0.227488151658768,0.128909952606635,0.0985781990521327
TUR,Sample16,16,New,2225,post,511,298,213,0.229662921348315,0.133932584269663,0.0957303370786517
TUR,Sample17,20,New,2340,post,563,344,219,0.240598290598291,0.147008547008547,0.0935897435897436
TUR,Sample18,17,New,2253,post,521,302,219,0.231247225920994,0.13404349755881,0.0972037283621838
TUR,Sample19,16,New,2216,post,484,270,214,0.21841155234657,0.121841155234657,0.0965703971119134
