Population,Sample,Coverage,Batch,SynDerivedAlleles,Island,Total_MISS,Homozygotes_MISS,Heterozygotes_MISS,Total_MISS_Standardized,Homozygotes_MISS_Standardized,Heterozygotes_MISS_Standardized
ARI,Sample01,13,New,1678,Trinidad,332,136,196,0.197854588796186,0.0810488676996424,0.116805721096544
ARI,Sample02,14,New,1869,Trinidad,401,208,193,0.214553237025147,0.111289459604066,0.103263777421081
ARI,Sample03,14,New,1818,Trinidad,431,268,163,0.237073707370737,0.147414741474147,0.0896589658965897
ARI,Sample04,15,New,1865,Trinidad,393,188,205,0.210723860589812,0.100804289544236,0.109919571045576
ARI,Sample05,15,New,1816,Trinidad,382,184,198,0.210352422907489,0.101321585903084,0.109030837004405
ARI,Sample06,15,New,1611,Trinidad,356,176,180,0.220980757293606,0.109248913718187,0.111731843575419
ARI,Sample07,15,New,1775,Trinidad,375,190,185,0.211267605633803,0.107042253521127,0.104225352112676
ARI,Sample08,16,New,1798,Trinidad,356,172,184,0.197997775305895,0.0956618464961068,0.102335928809789
ARI,Sample09,16,New,1779,Trinidad,389,190,199,0.218662169758291,0.106801573917931,0.11186059584036
ARI,Sample10,16,New,1697,Trinidad,369,178,191,0.217442545668827,0.10489098408957,0.112551561579258
ARI,Sample11,16,New,1873,Trinidad,390,180,210,0.208222103577149,0.0961025093432995,0.112119594233849
ARI,Sample12,17,New,1793,Trinidad,407,214,193,0.226993865030675,0.119353039598438,0.107640825432236
ARI,Sample13,18,New,1918,Trinidad,412,210,202,0.214807090719499,0.109489051094891,0.105318039624609
ARI,Sample14,23,New,1728,Trinidad,374,178,196,0.216435185185185,0.103009259259259,0.113425925925926
CAU,Sample01,10,Old,7425,Trinidad,2316,1790,526,0.311919191919192,0.241077441077441,0.0708417508417508
CAU,Sample02,12,Old,6730,Trinidad,2138,1610,528,0.317682020802377,0.239227340267459,0.0784546805349183
CAU,Sample03,13,Old,7115,Trinidad,2162,1618,544,0.303865073787772,0.227406886858749,0.0764581869290232
CAU,Sample04,17,Old,7487,Trinidad,2347,1840,507,0.31347669293442,0.24575931614799,0.0677173767864298
CAU,Sample05,20,Old,5647,Trinidad,1694,1254,440,0.299982291482203,0.222064813175137,0.0779174783070657
DR,Sample01,10,Old,10502,Tobago,3877,3246,631,0.369167777566178,0.309083984003047,0.0600837935631308
DR,Sample02,12,Old,9697,Tobago,3530,2910,620,0.364030112405899,0.300092812209962,0.0639373001959369
DR,Sample03,15,Old,10622,Tobago,3947,3372,575,0.371587271700245,0.317454340048955,0.0541329316512898
DR,Sample04,15,Old,10567,Tobago,3853,3254,599,0.36462572158607,0.307939812624207,0.0566859089618624
DR,Sample05,15,Old,7969,Tobago,2840,2318,522,0.356380976283097,0.29087714895219,0.0655038273309073
GUA,Sample01,9,Guanapo,792,Trinidad,200,52,148,0.252525252525252,0.0656565656565657,0.186868686868687
