Population,Sample,Coverage,Batch,SynDerivedAlleles,Site,Total_MISS,Homozygotes_MISS,Heterozygotes_MISS,Total_MISS_Standardized,Homozygotes_MISS_Standardized,Heterozygotes_MISS_Standardized
ORO,Sample01,12,New,2677,lower,758,464,294,0.283152782966007,0.173328352633545,0.109824430332462
ORO,Sample02,13,New,2386,lower,680,448,232,0.284995808885163,0.187761944677284,0.0972338642078793
ORO,Sample03,13,New,2576,lower,748,500,248,0.290372670807453,0.194099378881988,0.0962732919254658
ORO,Sample04,14,New,2674,lower,799,534,265,0.298803290949888,0.199700822737472,0.0991024682124159
ORO,Sample05,14,New,2773,lower,828,584,244,0.29859358095925,0.210602235845655,0.0879913451135954
ORO,Sample06,15,New,2273,lower,590,356,234,0.259568851737791,0.156621205455345,0.102947646282446
ORO,Sample07,15,New,2761,lower,820,562,258,0.296993842810576,0.2035494386092,0.0934444042013763
ORO,Sample08,15,New,2078,lower,567,304,263,0.272858517805582,0.146294513955727,0.126564003849856
ORO,Sample09,16,New,2474,lower,723,450,273,0.292239288601455,0.181891673403395,0.11034761519806
ORO,Sample10,16,New,2604,lower,731,428,303,0.280721966205837,0.164362519201229,0.116359447004608
ORO,Sample11,17,New,2596,lower,730,434,296,0.281201848998459,0.167180277349769,0.11402157164869
ORO,Sample12,17,New,2604,lower,767,516,251,0.294546850998464,0.19815668202765,0.0963901689708141
ORO,Sample13,19,New,2619,lower,706,432,274,0.269568537609775,0.164948453608247,0.104620084001527
ORO,Sample01,10,Old,1924,upper,570,338,232,0.296257796257796,0.175675675675676,0.120582120582121
ORO,Sample02,11,Old,2712,upper,829,596,233,0.305678466076696,0.21976401179941,0.0859144542772861
ORO,Sample03,12,Old,2272,upper,694,458,236,0.305457746478873,0.201584507042253,0.10387323943662
ORO,Sample04,13,Old,2385,upper,738,490,248,0.309433962264151,0.205450733752621,0.10398322851153
ORO,Sample05,14,Old,2622,upper,822,582,240,0.31350114416476,0.221967963386728,0.091533180778032
ORO,Sample06,15,Old,2621,upper,744,484,260,0.283861121709271,0.184662342617322,0.0991987790919496
ORO,Sample07,11,New,2114,upper,659,440,219,0.311731315042573,0.208136234626301,0.103595080416272
ORO,Sample08,12,New,2217,upper,679,462,217,0.306269733874605,0.208389715832206,0.0978800180423996
ORO,Sample09,12,New,2406,upper,766,520,246,0.318370739817124,0.216126350789692,0.102244389027431
ORO,Sample10,14,New,2467,upper,750,518,232,0.304012971220105,0.209971625456019,0.0940413457640859
ORO,Sample11,14,New,2532,upper,789,542,247,0.311611374407583,0.214060031595577,0.0975513428120063
ORO,Sample12,15,New,2658,upper,840,626,214,0.316027088036117,0.235515425131678,0.0805116629044394
ORO,Sample13,15,New,2152,upper,656,410,246,0.304832713754647,0.190520446096654,0.114312267657993
ORO,Sample14,15,New,2456,upper,740,514,226,0.301302931596091,0.20928338762215,0.0920195439739414
ORO,Sample15,15,New,2431,upper,720,482,238,0.296174413821473,0.198272315919375,0.0979020979020979
ORO,Sample16,16,New,2478,upper,726,474,252,0.292978208232445,0.191283292978208,0.101694915254237
ORO,Sample17,16,New,2107,upper,668,478,190,0.31703844328429,0.226862838158519,0.0901756051257712
ORO,Sample18,17,New,2201,upper,605,362,243,0.274875056792367,0.164470695138573,0.110404361653794
ORO,Sample19,18,New,2592,upper,850,594,256,0.327932098765432,0.229166666666667,0.0987654320987654
ORO,Sample20,23,New,2572,upper,771,530,241,0.299766718506998,0.20606531881804,0.093701399688958
QUA,Sample01,10,Old,1895,lower,267,134,133,0.14089709762533,0.070712401055409,0.0701846965699208
QUA,Sample02,11,Old,1573,lower,228,106,122,0.144945963127781,0.0673871582962492,0.0775588048315321
QUA,Sample03,11,Old,1572,lower,228,98,130,0.145038167938931,0.0623409669211196,0.0826972010178117
QUA,Sample04,15,Old,1696,lower,248,120,128,0.14622641509434,0.0707547169811321,0.0754716981132075
QUA,Sample05,18,Old,1793,lower,295,166,129,0.164528722810931,0.0925822643614055,0.0719464584495259
QUA,Sample06,10,Old,1598,lower,243,116,127,0.15206508135169,0.0725907384230288,0.0794743429286608
QUA,Sample07,12,Old,1596,lower,239,126,113,0.149749373433584,0.0789473684210526,0.0708020050125313
QUA,Sample08,13,Old,1791,lower,277,146,131,0.154662199888331,0.0815187046342825,0.073143495254048
QUA,Sample09,13,Old,1903,lower,270,134,136,0.141881240147136,0.070415133998949,0.0714661061481871
QUA,Sample10,13,Old,1497,lower,226,156,70,0.150968603874416,0.104208416833667,0.0467601870407482
QUA,Sample11,14,New,1511,lower,224,98,126,0.14824619457313,0.0648577101257445,0.0833884844473858
QUA,Sample12,14,New,1357,lower,302,208,94,0.222549742078113,0.153279292557111,0.0692704495210022
QUA,Sample13,16,New,1743,lower,267,150,117,0.153184165232358,0.0860585197934596,0.0671256454388985
QUA,Sample14,16,New,1653,lower,280,182,98,0.169388989715668,0.110102843315185,0.059286146400484
QUA,Sample15,17,New,1698,lower,271,140,131,0.159599528857479,0.0824499411071849,0.0771495877502945
QUA,Sample16,17,New,1766,lower,277,140,137,0.156851642129105,0.0792751981879955,0.0775764439411099
QUA,Sample17,17,New,1760,lower,247,134,113,0.140340909090909,0.0761363636363636,0.0642045454545455
QUA,Sample18,17,New,1832,lower,280,154,126,0.152838427947598,0.084061135371179,0.0687772925764192
