Sample,Population,Coverage,Batch,Total,Homozygotes,Heterozygotes,Island,Region
Sample01,ARI,13,New,0.0052773218768102,0.00223160841861363,0.00304571345819656,Trinidad,Caroni
Sample02,ARI,14,New,0.00440410901113736,0.00183386770165373,0.00257024130948363,Trinidad,Caroni
Sample03,ARI,14,New,0.00583251165292219,0.0032677482968806,0.00256476335604159,Trinidad,Caroni
Sample04,ARI,15,New,0.00583188052679115,0.00320191560419248,0.00262996492259867,Trinidad,Caroni
Sample05,ARI,15,New,0.00526299265336878,0.00259999581388534,0.00266299683948343,Trinidad,Caroni
Sample06,ARI,15,New,0.00457473881596571,0.00225555853201179,0.00231918028395392,Trinidad,Caroni
Sample07,ARI,15,New,0.00522533416830422,0.00242846962793409,0.00279686454037012,Trinidad,Caroni
Sample08,ARI,16,New,0.00552526799387443,0.00217282870269088,0.00335243929118355,Trinidad,Caroni
Sample09,ARI,16,New,0.00552312449288393,0.00250608539286419,0.00301703910001974,Trinidad,Caroni
Sample10,ARI,16,New,0.00497401187368616,0.00141329206033865,0.0035607198133475,Trinidad,Caroni
Sample11,ARI,16,New,0.0054986125563649,0.00288761706555671,0.00261099549080819,Trinidad,Caroni
Sample12,ARI,17,New,0.00515275033794323,0.00290776749506083,0.0022449828428824,Trinidad,Caroni
Sample13,ARI,18,New,0.00598820904382715,0.00341692084092444,0.0025712882029027,Trinidad,Caroni
Sample14,ARI,23,New,0.00481428982746783,0.00206950012181347,0.00274478970565436,Trinidad,Caroni
Sample01,CAU,10,Old,0.0135147328351896,0.0102516565628084,0.00326307627238122,Trinidad,Caroni
Sample02,CAU,12,Old,0.0134752084247477,0.0101334434607542,0.0033417649639935,Trinidad,Caroni
Sample03,CAU,13,Old,0.0137158720519526,0.0105776499894657,0.00313822206248683,Trinidad,Caroni
Sample04,CAU,17,Old,0.0136856903843473,0.0102732722963238,0.00341241808802342,Trinidad,Caroni
Sample05,CAU,20,Old,0.0139067290124795,0.0104050413402285,0.00350168767225095,Trinidad,Caroni
Sample01,DR,10,Old,0.015338519764508,0.0127278902762502,0.00261062948825775,Tobago,Tobago
Sample02,DR,12,Old,0.0146486856249389,0.0117511082682587,0.00289757735668026,Tobago,Tobago
Sample03,DR,15,Old,0.0153369986074105,0.0126268423636993,0.00271015624371121,Tobago,Tobago
Sample04,DR,15,Old,0.0150511889974101,0.0119266710508155,0.00312451794659457,Tobago,Tobago
Sample05,DR,15,Old,0.0147808277171985,0.0113493598178427,0.00343146789935581,Tobago,Tobago
