Population	Neutral_Pi	Heterozygotes_LOF_Standardized_Averaged	Homozygotes_LOF_Standardized_Averaged	Total_LOF_Standardized_Averaged
ARI	0.00494196063522178	0.0039974178	0.0021436379	0.0061410557
CAU	0.00298433667110805	0.0007726374	0.0014483092	0.0022209465
DR	0.00226736999577594	0.0004351847	0.0020396308	0.0024748155
LOP	0.00426149818733864	0.0022025297	0.0017632914	0.0039658211
LSA	0.00555173693252931	0.0017501854	0.0024394536	0.004189639
ORO	0.00512489917717537	0.0022390254	0.000657401	0.0028964264
QUA	0.00645413260798941	0.0021453839	0.0020490407	0.0041944246
ROX	0.00352969854890044	0.0011222002	0.0030074196	0.0041296198
SCR	0.00434994317568356	0.0017421214	0.0017712317	0.0035133531
GUA	0.0026850814460447	0.00354225330294624	0.00200460931171671	0.00554686261466295
