Population,Sample,Coverage,Batch,SynDerivedAlleles,Total_LOF,Homozygotes_LOF,Heterozygotes_LOF,Total_LOF_Standardized,Homozygotes_LOF_Standardized,Heterozygotes_LOF_Standardized
TUR lower,Sample01,11,New,2023,9,4,5,0.00444883835887296,0.00197726149283243,0.00247157686604053
TUR lower,Sample02,13,New,1972,6,2,4,0.00304259634888438,0.00101419878296146,0.00202839756592292
TUR lower,Sample03,14,New,2030,12,6,6,0.00591133004926108,0.00295566502463054,0.00295566502463054
TUR lower,Sample04,14,New,2072,6,2,4,0.0028957528957529,0.000965250965250965,0.00193050193050193
TUR lower,Sample05,14,New,1974,8,2,6,0.00405268490374873,0.00101317122593718,0.00303951367781155
TUR lower,Sample06,15,New,1796,5,0,5,0.00278396436525612,0,0.00278396436525612
TUR lower,Sample07,15,New,2006,9,2,7,0.00448654037886341,0.000997008973080758,0.00348953140578265
TUR lower,Sample08,15,New,1898,8,6,2,0.00421496311907271,0.00316122233930453,0.00105374077976818
TUR lower,Sample09,15,New,2157,5,2,3,0.00231803430690774,0.000927213722763097,0.00139082058414465
TUR lower,Sample10,16,New,1969,9,6,3,0.00457084814626714,0.00304723209751143,0.00152361604875571
TUR lower,Sample11,16,New,2037,8,2,6,0.0039273441335297,0.000981836033382425,0.00294550810014728
TUR lower,Sample12,16,New,1990,8,2,6,0.00402010050251256,0.00100502512562814,0.00301507537688442
TUR lower,Sample13,18,New,1963,7,2,5,0.00356597045338767,0.00101884870096791,0.00254712175241977
TUR lower,Sample14,18,New,2087,7,2,5,0.00335409678965022,0.00095831336847149,0.00239578342117873
TUR middle,Sample01,13,Old,1200,2,0,2,0.00166666666666667,0,0.00166666666666667
TUR middle,Sample03,13,Old,1186,5,2,3,0.00421585160202361,0.00168634064080944,0.00252951096121416
TUR middle,Sample04,13,Old,1164,0,0,0,0,0,0
TUR middle,Sample05,14,Old,1263,4,4,0,0.00316706254948535,0.00316706254948535,0
TUR middle,Sample06,14,New,1205,3,2,1,0.0024896265560166,0.0016597510373444,0.000829875518672199
TUR middle,Sample07,15,New,1208,4,2,2,0.0033112582781457,0.00165562913907285,0.00165562913907285
TUR middle,Sample08,15,New,1202,2,2,0,0.00166389351081531,0.00166389351081531,0
TUR middle,Sample09,15,New,1277,2,0,2,0.00156617071260767,0,0.00156617071260767
TUR middle,Sample10,15,New,1262,3,2,1,0.00237717908082409,0.00158478605388273,0.000792393026941363
TUR middle,Sample11,15,New,1178,3,2,1,0.00254668930390492,0.00169779286926995,0.000848896434634974
TUR middle,Sample16,12,New,1146,5,4,1,0.0043630017452007,0.00349040139616056,0.00087260034904014
TUR middle,Sample17,15,New,1081,3,2,1,0.00277520814061055,0.00185013876040703,0.000925069380203515
TUR middle,Sample18,16,New,1206,2,0,2,0.00165837479270315,0,0.00165837479270315
TUR upper,Sample01,16,Old,2251,6,0,6,0.00266548200799645,0,0.00266548200799645
TUR upper,Sample02,11,Old,1966,6,2,4,0.00305188199389624,0.00101729399796541,0.00203458799593082
TUR upper,Sample03,14,Old,2170,6,2,4,0.00276497695852535,0.000921658986175115,0.00184331797235023
TUR upper,Sample04,14,Old,2223,7,4,3,0.00314889788573999,0.00179937022042285,0.00134952766531714
TUR upper,Sample05,16,Old,2286,3,0,3,0.00131233595800525,0,0.00131233595800525
TUR upper,Sample06,14,New,1975,4,0,4,0.0020253164556962,0,0.0020253164556962
TUR upper,Sample07,13,New,1992,6,2,4,0.00301204819277108,0.00100401606425703,0.00200803212851406
TUR upper,Sample08,15,New,2091,3,0,3,0.00143472022955524,0,0.00143472022955524
TUR upper,Sample09,15,New,2126,5,2,3,0.00235183443085607,0.000940733772342427,0.00141110065851364
TUR upper,Sample10,11,New,1821,3,2,1,0.00164744645799012,0.00109829763866008,0.000549148819330038
TUR upper,Sample11,15,New,2055,7,4,3,0.00340632603406326,0.00194647201946472,0.00145985401459854
TUR upper,Sample12,14,New,1972,6,0,6,0.00304259634888438,0,0.00304259634888438
TUR upper,Sample13,15,New,2116,5,2,3,0.00236294896030246,0.000945179584120983,0.00141776937618147
TUR upper,Sample14,18,New,2322,6,4,2,0.00258397932816537,0.00172265288544358,0.000861326442721792
TUR upper,Sample15,15,New,2110,6,2,4,0.0028436018957346,0.000947867298578199,0.0018957345971564
TUR upper,Sample16,16,New,2225,4,0,4,0.00179775280898876,0,0.00179775280898876
TUR upper,Sample17,20,New,2340,6,2,4,0.00256410256410256,0.000854700854700855,0.00170940170940171
TUR upper,Sample18,17,New,2253,7,4,3,0.00310696848646249,0.00177541056369285,0.00133155792276964
TUR upper,Sample19,16,New,2216,4,0,4,0.00180505415162455,0,0.00180505415162455
