Population	Sample	Coverage	Batch	SynDerivedAlleles	Bottleneck	Total_LOF	Homozygotes_LOF	Heterozygotes_LOF	Total_LOF_Standardized	Homozygotes_LOF_Standardized	Heterozygotes_LOF_Standardized
GUA	Sample01	9	Guanapo	792	pre	0	0	0	0	0	0
GUA	Sample02	7	Guanapo	938	pre	6	2	4	0.00639658848614072	0.00213219616204691	0.00426439232409382
GUA	Sample03	10	Guanapo	546	pre	3	0	3	0.00549450549450549	0	0.00549450549450549
GUA	Sample04	9	Guanapo	851	pre	7	4	3	0.0082256169212691	0.00470035252643948	0.00352526439482961
GUA	Sample05	13	Guanapo	781	pre	7	4	3	0.0089628681177977	0.00512163892445583	0.00384122919334187
GUA	Sample06	12	Guanapo	924	pre	6	2	4	0.00649350649350649	0.00216450216450216	0.00432900432900433
GUA	Sample07	10	Guanapo	923	pre	4	0	4	0.00433369447453955	0	0.00433369447453955
GUA	Sample08	8	Guanapo	827	pre	2	0	2	0.00241837968561064	0	0.00241837968561064
GUA	Sample09	10	Guanapo	597	pre	4	2	2	0.00670016750418761	0.0033500837520938	0.0033500837520938
GUA	Sample10	13	Guanapo	776	pre	5	2	3	0.00644329896907216	0.00257731958762887	0.0038659793814433
TUR	Sample01	16	Old	2251	post	6	0	6	0.00266548200799645	0	0.00266548200799645
TUR	Sample02	11	Old	1966	post	6	2	4	0.00305188199389624	0.00101729399796541	0.00203458799593082
TUR	Sample03	14	Old	2170	post	6	2	4	0.00276497695852535	0.000921658986175115	0.00184331797235023
TUR	Sample04	14	Old	2223	post	7	4	3	0.00314889788573999	0.00179937022042285	0.00134952766531714
TUR	Sample05	16	Old	2286	post	3	0	3	0.00131233595800525	0	0.00131233595800525
TUR	Sample06	14	New	1975	post	4	0	4	0.0020253164556962	0	0.0020253164556962
TUR	Sample07	13	New	1992	post	6	2	4	0.00301204819277108	0.00100401606425703	0.00200803212851406
TUR	Sample08	15	New	2091	post	3	0	3	0.00143472022955524	0	0.00143472022955524
TUR	Sample09	15	New	2126	post	5	2	3	0.00235183443085607	0.000940733772342427	0.00141110065851364
TUR	Sample10	11	New	1821	post	3	2	1	0.00164744645799012	0.00109829763866008	0.000549148819330038
TUR	Sample11	15	New	2055	post	7	4	3	0.00340632603406326	0.00194647201946472	0.00145985401459854
TUR	Sample12	14	New	1972	post	6	0	6	0.00304259634888438	0	0.00304259634888438
TUR	Sample13	15	New	2116	post	5	2	3	0.00236294896030246	0.000945179584120983	0.00141776937618147
TUR	Sample14	18	New	2322	post	6	4	2	0.00258397932816537	0.00172265288544358	0.000861326442721792
TUR	Sample15	15	New	2110	post	6	2	4	0.0028436018957346	0.000947867298578199	0.0018957345971564
TUR	Sample16	16	New	2225	post	4	0	4	0.00179775280898876	0	0.00179775280898876
TUR	Sample17	20	New	2340	post	6	2	4	0.00256410256410256	0.000854700854700855	0.00170940170940171
TUR	Sample18	17	New	2253	post	7	4	3	0.00310696848646249	0.00177541056369285	0.00133155792276964
TUR	Sample19	16	New	2216	post	4	0	4	0.00180505415162455	0	0.00180505415162455
