Population,Sample,Coverage,Batch,SynDerivedAlleles,Site,Total_LOF,Homozygotes_LOF,Heterozygotes_LOF,Total_LOF_Standardized,Homozygotes_LOF_Standardized,Heterozygotes_LOF_Standardized
ORO,Sample01,12,New,2677,lower,5,0,5,0.0018677624206201,0,0.0018677624206201
ORO,Sample02,13,New,2386,lower,9,2,7,0.00377200335289187,0.000838222967309304,0.00293378038558256
ORO,Sample03,13,New,2576,lower,7,2,5,0.00271739130434783,0.00077639751552795,0.00194099378881988
ORO,Sample04,14,New,2674,lower,6,0,6,0.00224382946896036,0,0.00224382946896036
ORO,Sample05,14,New,2773,lower,7,0,7,0.00252434186801298,0,0.00252434186801298
ORO,Sample06,15,New,2273,lower,11,2,9,0.00483941926968764,0.00087989441267048,0.00395952485701716
ORO,Sample07,15,New,2761,lower,9,6,3,0.00325968851865266,0.00217312567910177,0.00108656283955089
ORO,Sample08,15,New,2078,lower,5,0,5,0.00240615976900866,0,0.00240615976900866
ORO,Sample09,16,New,2474,lower,10,2,8,0.00404203718674212,0.000808407437348424,0.00323362974939369
ORO,Sample10,16,New,2604,lower,7,4,3,0.00268817204301075,0.00153609831029186,0.00115207373271889
ORO,Sample11,17,New,2596,lower,8,2,6,0.00308166409861325,0.000770416024653313,0.00231124807395994
ORO,Sample12,17,New,2604,lower,5,0,5,0.00192012288786482,0,0.00192012288786482
ORO,Sample13,19,New,2619,lower,6,2,4,0.00229095074455899,0.000763650248186331,0.00152730049637266
ORO,Sample01,10,Old,1924,upper,15,10,5,0.0077962577962578,0.0051975051975052,0.0025987525987526
ORO,Sample02,11,Old,2712,upper,13,8,5,0.00479351032448378,0.00294985250737463,0.00184365781710914
ORO,Sample03,12,Old,2272,upper,8,4,4,0.00352112676056338,0.00176056338028169,0.00176056338028169
ORO,Sample04,13,Old,2385,upper,10,8,2,0.00419287211740042,0.00335429769392034,0.000838574423480084
ORO,Sample05,14,Old,2622,upper,9,2,7,0.0034324942791762,0.0007627765064836,0.0026697177726926
ORO,Sample06,15,Old,2621,upper,8,2,6,0.00305227012590614,0.000763067531476536,0.00228920259442961
ORO,Sample07,11,New,2114,upper,10,6,4,0.00473036896877956,0.00283822138126774,0.00189214758751183
ORO,Sample08,12,New,2217,upper,14,8,6,0.0063148398737032,0.0036084799278304,0.0027063599458728
ORO,Sample09,12,New,2406,upper,11,6,5,0.00457190357439734,0.00249376558603491,0.00207813798836243
ORO,Sample10,14,New,2467,upper,11,6,5,0.00445885691122821,0.00243210376976084,0.00202675314146737
ORO,Sample11,14,New,2532,upper,15,8,7,0.00592417061611374,0.00315955766192733,0.00276461295418641
ORO,Sample12,15,New,2658,upper,14,10,4,0.00526711813393529,0.00376222723852521,0.00150489089541008
ORO,Sample13,15,New,2152,upper,8,4,4,0.00371747211895911,0.00185873605947955,0.00185873605947955
ORO,Sample14,15,New,2456,upper,14,8,6,0.00570032573289902,0.00325732899022801,0.00244299674267101
ORO,Sample15,15,New,2431,upper,12,8,4,0.00493624023035788,0.00329082682023858,0.00164541341011929
ORO,Sample16,16,New,2478,upper,9,4,5,0.0036319612590799,0.00161420500403551,0.00201775625504439
ORO,Sample17,16,New,2107,upper,12,8,4,0.0056953013763645,0.003796867584243,0.0018984337921215
ORO,Sample18,17,New,2201,upper,9,6,3,0.00408905043162199,0.00272603362108133,0.00136301681054066
ORO,Sample19,18,New,2592,upper,11,8,3,0.00424382716049383,0.00308641975308642,0.00115740740740741
ORO,Sample20,23,New,2572,upper,15,10,5,0.00583203732503888,0.00388802488335925,0.00194401244167963
QUA,Sample01,10,Old,1895,lower,8,4,4,0.00422163588390501,0.00211081794195251,0.00211081794195251
QUA,Sample02,11,Old,1573,lower,5,2,3,0.00317863954227591,0.00127145581691036,0.00190718372536554
QUA,Sample03,11,Old,1572,lower,3,0,3,0.00190839694656489,0,0.00190839694656489
QUA,Sample04,15,Old,1696,lower,5,2,3,0.00294811320754717,0.00117924528301887,0.0017688679245283
QUA,Sample05,18,Old,1793,lower,9,4,5,0.00501952035694367,0.00223089793641941,0.00278862242052426
QUA,Sample06,10,Old,1598,lower,5,2,3,0.00312891113892365,0.00125156445556946,0.00187734668335419
QUA,Sample07,12,Old,1596,lower,9,4,5,0.0056390977443609,0.0025062656641604,0.0031328320802005
QUA,Sample08,13,Old,1791,lower,6,2,4,0.0033500837520938,0.00111669458403127,0.00223338916806253
QUA,Sample09,13,Old,1903,lower,7,4,3,0.00367840252233316,0.00210194429847609,0.00157645822385707
QUA,Sample10,13,Old,1497,lower,7,6,1,0.00467601870407482,0.00400801603206413,0.000668002672010688
QUA,Sample11,14,New,1511,lower,6,2,4,0.00397088021178028,0.00132362673726009,0.00264725347452019
QUA,Sample12,14,New,1357,lower,6,2,4,0.00442151805453206,0.00147383935151069,0.00294767870302137
QUA,Sample13,16,New,1743,lower,5,0,5,0.00286861732644865,0,0.00286861732644865
QUA,Sample14,16,New,1653,lower,9,4,5,0.00544464609800363,0.00241984271022384,0.00302480338777979
QUA,Sample15,17,New,1698,lower,8,4,4,0.00471142520612485,0.00235571260306243,0.00235571260306243
QUA,Sample16,17,New,1766,lower,9,4,5,0.00509626274065685,0.00226500566251416,0.0028312570781427
QUA,Sample17,17,New,1760,lower,6,2,4,0.00340909090909091,0.00113636363636364,0.00227272727272727
QUA,Sample18,17,New,1832,lower,7,4,3,0.00382096069868996,0.00218340611353712,0.00163755458515284
QUA,Sample19,17,New,1650,lower,6,4,2,0.00363636363636364,0.00242424242424242,0.00121212121212121
QUA,Sample20,19,New,1392,lower,6,4,2,0.00431034482758621,0.0028735632183908,0.0014367816091954
QUA,Sample21,20,New,1324,lower,8,4,4,0.00604229607250755,0.00302114803625378,0.00302114803625378
QUA,Sample22,28,New,1030,lower,7,6,1,0.00679611650485437,0.0058252427184466,0.000970873786407767
QUA,Sample01,11,New,2673,upper,13,2,11,0.00486344930789375,0.000748222970445193,0.00411522633744856
QUA,Sample02,11,New,2871,upper,14,6,8,0.00487634970393591,0.00208986415882968,0.00278648554510623
QUA,Sample03,11,New,2648,upper,12,4,8,0.00453172205438066,0.00151057401812689,0.00302114803625378
QUA,Sample04,13,New,2778,upper,12,6,6,0.00431965442764579,0.00215982721382289,0.00215982721382289
QUA,Sample05,13,New,2660,upper,16,10,6,0.00601503759398496,0.0037593984962406,0.00225563909774436
QUA,Sample06,14,New,2767,upper,12,6,6,0.00433682688832671,0.00216841344416335,0.00216841344416335
QUA,Sample07,14,New,2373,upper,8,6,2,0.00337126000842815,0.00252844500632111,0.000842815002107037
QUA,Sample08,15,New,2185,upper,12,6,6,0.00549199084668192,0.00274599542334096,0.00274599542334096
QUA,Sample09,15,New,2275,upper,13,2,11,0.00571428571428571,0.000879120879120879,0.00483516483516484
QUA,Sample10,16,New,2784,upper,14,6,8,0.00502873563218391,0.0021551724137931,0.0028735632183908
QUA,Sample11,17,New,2664,upper,13,4,9,0.00487987987987988,0.0015015015015015,0.00337837837837838
