Population	Neutral_Pi	Heterozygotes_MISS_Standardized_Averaged	Homozygotes_MISS_Standardized_Averaged	Total_MISS_Standardized_Averaged
ARI	0.00494196063522178	0.1078491814	0.1066770268	0.2145262082
CAU	0.00298433667110805	0.0742778947	0.2351071595	0.3093850542
DR	0.00226736999577594	0.0600687523	0.3050896196	0.3651583719
LOP	0.00426149818733864	0.1062443723	0.1978713234	0.3041156958
LSA	0.00555173693252931	0.0864918495	0.1734569907	0.2599488402
ORO	0.00512489917717537	0.1042400262	0.1806536537	0.2848936799
QUA	0.00645413260798941	0.0712403222	0.0887557359	0.1599960581
ROX	0.00352969854890044	0.0883954804	0.2607436685	0.3491391489
SCR	0.00434994317568356	0.1047180468	0.17302643	0.2777444769
GUA	0.0026850814460447	0.177962866722923	0.067065210714049	0.245028077436972
