Region	Population	Total	Homozygotes	Heterozygotes	Neutral_Pi
Caroni	ARI	0.00527751105938195	0.00251379826245863	0.00276371279692331	0.00494196063522178
Caroni	CAU	0.0136596465417433	0.0103282127299161	0.00333143381182718	0.00298433667110805
Tobago	DR	0.0150312441422932	0.0120763743553733	0.00295486978691992	0.00226736999577594
Caroni	LOP	0.00734846861390942	0.00467003528157363	0.00267843333233579	0.00426149818733864
Oropouche	LSA	0.00735461741308081	0.00455237403976435	0.00280224337331646	0.00555173693252931
Oropouche	ORO	0.00748307022424492	0.00444558018947812	0.0030374900347668	0.00512489917717537
Oropouche	QUA	0.00450510455047878	0.00195634757391583	0.00254875697656294	0.00645413260798941
Tobago	ROX	0.0141034017758034	0.0100877986702813	0.00401560310552215	0.00352969854890044
Caroni	SCR	0.0114762901976652	0.00690457397198761	0.00457171622567764	0.00434994317568356
Caroni	GUA	0.0116012628805653	0.00361012861623011	0.00799113426433518	0.0026850814460447
