Sample,Population,Coverage,Batch,Total,Homozygotes,Heterozygotes
Sample01,TUR lower,11,New,0.00569805589307412,0.00232746051032807,0.00337059538274605
Sample02,TUR lower,13,New,0.00693323375653473,0.00337565347274085,0.00355758028379388
Sample03,TUR lower,14,New,0.00629347924119893,0.00262874665544298,0.00366473258575595
Sample04,TUR lower,14,New,0.00587162932016711,0.00281048233953665,0.00306114698063046
Sample05,TUR lower,14,New,0.00615586396217783,0.00267500381271923,0.00348086014945859
Sample06,TUR lower,15,New,0.00595704746435661,0.00167478794441437,0.00428225951994225
Sample07,TUR lower,15,New,0.00676286720077689,0.00278222869628551,0.00398063850449138
Sample08,TUR lower,15,New,0.00677393454732312,0.00264958088447827,0.00412435366284485
Sample09,TUR lower,15,New,0.0068816732485008,0.00258534444931988,0.00429632879918093
Sample10,TUR lower,16,New,0.00678048468572159,0.00222328793401113,0.00455719675171047
Sample11,TUR lower,16,New,0.0054737678369542,0.00206435053625447,0.00340941730069973
Sample12,TUR lower,16,New,0.00593151569175914,0.00223465404358651,0.00369686164817262
Sample13,TUR lower,18,New,0.0057859471747779,0.00232957434716281,0.00345637282761509
Sample14,TUR lower,18,New,0.00613834438428352,0.00291339722616325,0.00322494715812028
Sample01,TUR middle,13,Old,0.00487829614604462,0.00153881615342062,0.00333947999262401
Sample03,TUR middle,13,Old,0.00440196163527472,0.00197639093828661,0.00242557069698811
Sample04,TUR middle,13,Old,0.00557160747830754,0.00246444225780481,0.00310716522050273
Sample05,TUR middle,14,Old,0.00539755087961366,0.00245601931700586,0.0029415315626078
Sample06,TUR middle,14,New,0.00544918472191199,0.00251597051597052,0.00293321420594148
Sample07,TUR middle,15,New,0.00444168837074703,0.00144528504692215,0.00299640332382488
Sample08,TUR middle,15,New,0.00490902893178235,0.00157995653841237,0.00332907239336998
Sample09,TUR middle,15,New,0.00511908237747654,0.00247424400417101,0.00264483837330553
Sample10,TUR middle,15,New,0.00554827049972681,0.00251250367755222,0.00303576682217459
Sample11,TUR middle,15,New,0.00532721630009445,0.00248099671659245,0.002846219583502
Sample16,TUR middle,12,New,0.00344964759804557,0.00117611449820556,0.00227353309984001
Sample17,TUR middle,15,New,0.00555796708265509,0.00233948272743715,0.00321848435521794
Sample18,TUR middle,16,New,0.00489881185533359,0.00252687470078774,0.00237193715454585
Sample01,TUR upper,16,Old,0.00984015516318887,0.00631955591225254,0.00352059925093633
Sample02,TUR upper,11,Old,0.00838003902520031,0.00396645493419687,0.00441358409100345
Sample03,TUR upper,14,Old,0.0106097213313378,0.00641721901503813,0.00419250231629962
Sample04,TUR upper,14,Old,0.00872505812541208,0.00532463476420169,0.0034004233612104
Sample05,TUR upper,16,Old,0.0104117687495704,0.00702412868632708,0.00338764006324328
Sample06,TUR upper,14,New,0.00868281518214763,0.00438756437154301,0.00429525081060462
Sample07,TUR upper,13,New,0.00888888888888889,0.00445221988958868,0.00443666899930021
Sample08,TUR upper,15,New,0.00913924783726065,0.00431100010858942,0.00482824772867123
Sample09,TUR upper,15,New,0.00921707037408628,0.00514332807797047,0.00407374229611581
Sample10,TUR upper,11,New,0.00790393013100437,0.00409245291341361,0.00381147721759075
Sample11,TUR upper,15,New,0.00884331628926223,0.00548210372534697,0.00336121256391527
Sample12,TUR upper,14,New,0.00818950930626058,0.00442701122904169,0.00376249807721889
Sample13,TUR upper,15,New,0.00815659635323561,0.00373543081873436,0.00442116553450125
Sample14,TUR upper,18,New,0.00923169347840598,0.00497496829317135,0.00425672518523463
Sample15,TUR upper,15,New,0.00928512970145536,0.00519659822794719,0.00408853147350817
Sample16,TUR upper,16,New,0.0100670587021562,0.00679390625537329,0.0032731524467829
Sample17,TUR upper,20,New,0.00902444530443756,0.00516834365325077,0.00385610165118679
Sample18,TUR upper,17,New,0.00912370268363954,0.00468478151345178,0.00443892117018775
Sample19,TUR upper,16,New,0.00887642001312109,0.00479403335520182,0.00408238665791927
