Sample,Population,Coverage,Batch,Total,Homozygotes,Heterozygotes,Bottleneck
Sample01,GUA,9,Guanapo,0.0121460009106086,0.0046820458339657,0.00746395507664289,pre
Sample02,GUA,7,Guanapo,0.0118678901388976,0.00628370309848532,0.00558418704041229,pre
Sample03,GUA,10,Guanapo,0.0103172978505629,0.000876151484135107,0.00944114636642784,pre
Sample04,GUA,9,Guanapo,0.0115528478322471,0.00256304902238595,0.00898979880986115,pre
Sample05,GUA,13,Guanapo,0.0129627138907569,0.00234476574759023,0.0106179481431667,pre
Sample06,GUA,12,Guanapo,0.0113514908997031,0.00603072156963986,0.00532076933006325,pre
Sample07,GUA,10,Guanapo,0.0130614756753255,0.00534559823799961,0.0077158774373259,pre
Sample08,GUA,8,Guanapo,0.0103741203504237,0.00200344679017665,0.00837067356024702,pre
Sample09,GUA,10,Guanapo,0.0118993288590604,0.00334419942473634,0.00855512943432407,pre
Sample10,GUA,13,Guanapo,0.010479462398067,0.00262760495318635,0.0078518574448807,pre
Sample01,TUR,16,Old,0.00984015516318887,0.00631955591225254,0.00352059925093633,post
Sample02,TUR,11,Old,0.00838003902520031,0.00396645493419687,0.00441358409100345,post
Sample03,TUR,14,Old,0.0106097213313378,0.00641721901503813,0.00419250231629962,post
Sample04,TUR,14,Old,0.00872505812541208,0.00532463476420169,0.0034004233612104,post
Sample05,TUR,16,Old,0.0104117687495704,0.00702412868632708,0.00338764006324328,post
Sample06,TUR,14,New,0.00868281518214763,0.00438756437154301,0.00429525081060462,post
Sample07,TUR,13,New,0.00888888888888889,0.00445221988958868,0.00443666899930021,post
Sample08,TUR,15,New,0.00913924783726065,0.00431100010858942,0.00482824772867123,post
Sample09,TUR,15,New,0.00921707037408628,0.00514332807797047,0.00407374229611581,post
Sample10,TUR,11,New,0.00790393013100437,0.00409245291341361,0.00381147721759075,post
Sample11,TUR,15,New,0.00884331628926223,0.00548210372534697,0.00336121256391527,post
Sample12,TUR,14,New,0.00818950930626058,0.00442701122904169,0.00376249807721889,post
Sample13,TUR,15,New,0.00815659635323561,0.00373543081873436,0.00442116553450125,post
Sample14,TUR,18,New,0.00923169347840598,0.00497496829317135,0.00425672518523463,post
Sample15,TUR,15,New,0.00928512970145536,0.00519659822794719,0.00408853147350817,post
Sample16,TUR,16,New,0.0100670587021562,0.00679390625537329,0.0032731524467829,post
Sample17,TUR,20,New,0.00902444530443756,0.00516834365325077,0.00385610165118679,post
Sample18,TUR,17,New,0.00912370268363954,0.00468478151345178,0.00443892117018775,post
Sample19,TUR,16,New,0.00887642001312109,0.00479403335520182,0.00408238665791927,post
