Sample,Population,Coverage,Batch,Total,Homozygotes,Heterozygotes,Site
Sample01,ORO,12,New,0.00723513645634914,0.00419601166495288,0.00303912479139625,lower
Sample02,ORO,13,New,0.0066,0.00351929515418502,0.00308070484581498,lower
Sample03,ORO,13,New,0.00773141109654871,0.00520052424639581,0.00253088685015291,lower
Sample04,ORO,14,New,0.00782509387274835,0.00493121766365005,0.0028938762090983,lower
Sample05,ORO,14,New,0.0075773028285905,0.00461027738325433,0.00296702544533616,lower
Sample06,ORO,15,New,0.00762436332767402,0.00458106960950764,0.00304329371816638,lower
Sample07,ORO,15,New,0.00758385398147678,0.00443541423274242,0.00314843974873436,lower
Sample08,ORO,15,New,0.00740918906206572,0.00433369679088363,0.00307549227118209,lower
Sample09,ORO,16,New,0.00753361167502969,0.0045091354809055,0.00302447619412418,lower
Sample10,ORO,16,New,0.00756887965318333,0.0040571817562968,0.00351169789688653,lower
Sample11,ORO,17,New,0.00697483206448724,0.00370013434841021,0.00327469771607703,lower
Sample12,ORO,17,New,0.00791593477759444,0.00461453842195845,0.00330139635563599,lower
Sample13,ORO,19,New,0.007700304119436,0.00510404571007281,0.00259625840936319,lower
Sample01,ORO,10,Old,0.00863140511246017,0.00459842299909288,0.00403298211336729,upper
Sample02,ORO,11,Old,0.00880331335918224,0.00640785721152306,0.00239545614765918,upper
Sample03,ORO,12,Old,0.0089209758735923,0.00580772276845216,0.00311325310514014,upper
Sample04,ORO,13,Old,0.00855222684140862,0.00521615928114688,0.00333606756026174,upper
Sample05,ORO,14,Old,0.00867641081502918,0.00591217259824085,0.00276423821678833,upper
Sample06,ORO,15,Old,0.00895262015821758,0.0056602935397338,0.00329232661848378,upper
Sample07,ORO,11,New,0.00710173943390335,0.00378597799533457,0.00331576143856878,upper
Sample08,ORO,12,New,0.00728487097318266,0.00427390791027155,0.00301096306291111,upper
Sample09,ORO,12,New,0.00818162269456621,0.00464874700190224,0.00353287569266397,upper
Sample10,ORO,14,New,0.00853072552304004,0.00574670739317503,0.00278401812986501,upper
Sample11,ORO,14,New,0.00829057772216072,0.00550352152219602,0.0027870561999647,upper
Sample12,ORO,15,New,0.00794361552254098,0.00528944672131147,0.00265416880122951,upper
Sample13,ORO,15,New,0.00810154912034875,0.00434999221547563,0.00375155690487311,upper
Sample14,ORO,15,New,0.00829153605015674,0.0051523102085321,0.00313922584162464,upper
Sample15,ORO,15,New,0.00879390977179226,0.00650796441506382,0.00228594535672844,upper
Sample16,ORO,16,New,0.00829049064936857,0.00529639086329446,0.00299409978607412,upper
Sample17,ORO,16,New,0.00832470244309877,0.00572812695761119,0.00259657548548758,upper
Sample18,ORO,17,New,0.00845118130239648,0.00470403929206537,0.0037471420103311,upper
Sample19,ORO,18,New,0.00792139377687511,0.00498833759103819,0.00293305618583692,upper
Sample20,ORO,23,New,0.00815302183932381,0.00526098073384037,0.00289204110548345,upper
Sample01,QUA,10,Old,0.00423175552943691,0.00128806496420558,0.00294369056523133,lower
Sample02,QUA,11,Old,0.00556601056168987,0.00260841734677548,0.00295759321491439,lower
Sample03,QUA,11,Old,0.00396848698375416,0.00102172636523782,0.00294676061851634,lower
Sample04,QUA,15,Old,0.00425318214838445,0.00073023593695714,0.00352294621142731,lower
Sample05,QUA,18,Old,0.00503025490786628,0.00256112586589273,0.00246912904197355,lower
Sample06,QUA,10,Old,0.00372519345535536,0.00138088575426173,0.00234430770109363,lower
Sample07,QUA,12,Old,0.0038631439576312,0.00144559460760713,0.00241754935002407,lower
Sample08,QUA,13,Old,0.00443425245947069,0.00172315366495774,0.00271109879451296,lower
Sample09,QUA,13,Old,0.00406274216390989,0.00114314726237875,0.00291959490153114,lower
Sample10,QUA,13,Old,0.00491646691363405,0.00329556185080264,0.00162090506283141,lower
Sample11,QUA,14,New,0.00439904420549582,0.00122281959378734,0.00317622461170848,lower
Sample12,QUA,14,New,0.00620826877024933,0.00435624735878293,0.0018520214114664,lower
Sample13,QUA,16,New,0.00431499791115444,0.0016861161398134,0.00262888177134104,lower
Sample14,QUA,16,New,0.00428044612340349,0.00228158541704143,0.00199886070636206,lower
Sample15,QUA,17,New,0.00412153430451128,0.00137687969924812,0.00274465460526316,lower
Sample16,QUA,17,New,0.00390815187046343,0.00132104969290899,0.00258710217755444,lower
Sample17,QUA,17,New,0.00440952029729653,0.00179115486085501,0.00261836543644152,lower
Sample18,QUA,17,New,0.00454028514133451,0.00228607532346235,0.00225420981787215,lower
Sample19,QUA,17,New,0.00423956728008945,0.00160336022723839,0.00263620705285106,lower
Sample20,QUA,19,New,0.00568937728937729,0.00416776556776557,0.00152161172161172,lower
Sample21,QUA,20,New,0.00446917360618395,0.00199783412375369,0.00247133948243026,lower
Sample22,QUA,28,New,0.00448044422984066,0.00175084500241429,0.00272959922742636,lower
Sample01,QUA,11,New,0.00778730253144627,0.00403806791343748,0.00374923461800878,upper
Sample02,QUA,11,New,0.00804232891923695,0.0053648673285049,0.00267746159073206,upper
Sample03,QUA,11,New,0.00793423242268756,0.00475384828733879,0.00318038413534877,upper
Sample04,QUA,13,New,0.00795683262711864,0.00467458951271186,0.00328224311440678,upper
Sample05,QUA,13,New,0.00796621403747626,0.00491992404428362,0.00304628999319265,upper
Sample06,QUA,14,New,0.00727269640219366,0.00347929436134268,0.00379340204085098,upper
Sample07,QUA,14,New,0.00804068501089063,0.00433187458785445,0.00370881042303619,upper
Sample08,QUA,15,New,0.00765841844793093,0.00356112456565231,0.00409729388227861,upper
Sample09,QUA,15,New,0.00695255584929268,0.00320182430932537,0.00375073153996731,upper
Sample10,QUA,16,New,0.00836469078607496,0.00499108437348976,0.0033736064125852,upper
Sample11,QUA,17,New,0.00775660964230171,0.00442280503322494,0.00333380460907677,upper
